ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
02030;PEPPER,BLACK;255;10,51;10,95;3,26;64,81;0,639999986;26,5;4,33
02031;PEPPER,RED OR CAYENNE;318;8,05;12,01;17,27;56,63;10,34000015;27,2;6,04
02032;PEPPER,WHITE;296;11,42;10,4;2,12;68,61;;26,2;1,59
02033;POPPY SEED;533;6,78;18,04;44,7;23,69;13,68999958;10;6,78
02034;POULTRY SEASONING;307;9,31;9,59;7,53;65,59;3,079999924;11,3;5,92
02035;PUMPKIN PIE SPICE;342;8,46;5,76;12,6;69,28;7,760000229;14,8;3,9
02036;ROSEMARY,DRIED;331;9,31;4,88;15,22;64,06;;42,6;6,53
02037;SAFFRON;310;11,9;11,43;5,85;65,37;;3,9;5,45
02038;SAGE,GROUND;315;7,96;10,63;12,75;60,73;1,710000038;40,3;7,95
02039;SAVORY,GROUND;272;9;6,73;5,91;68,73;;45,7;9,63
02041;SPICES,TARRAGON,DRIED;295;7,74;22,77;7,24;50,22;;7,4;12,03
02042;SPICES,THYME,DRIED;276;7,79;9,11;7,43;63,94;1,710000038;37;11,74
02043;TURMERIC,GROUND;354;11,36;7,83;9,88;64,93;3,210000038;21,1;6,02
02044;BASIL,FRESH;27;90,96;2,54;0,61;4,34;0,300000012;3,9;1,55
02045;DILL WEED,FRSH;43;85,95;3,46;1,12;7,02;;2,1;2,45
02046;MUSTARD,PREPARED,YELLOW;66;81,64;3,95;3,11;7,78;2,839999914;3,2;3,52
02047;SALT,TABLE;0;0,2;0;0;0;0;0;99,8
02048;VINEGAR,CIDER;21;93,81;0;0;0,93;0,400000006;0;0,17
02049;THYME,FRSH;101;65,11;5,56;1,68;24,45;;14;3,2
02050;VANILLA EXTRACT;288;52,58;0,06;0,06;12,65;12,64999962;0;0,26
02051;VANILLA EXTRACT,IMITN,ALCOHOL;237;64,46;0,05;0;2,41;;0;0,22
02052;VANILLA EXTRACT,IMITN,NO ALCOHOL;56;85,58;0,03;0;14,4;14,39999962;0;0
02053;VINEGAR,DISTILLED;18;94,78;0;0;0,04;0,039999999;0;0
02054;CAPERS,CANNED;23;83,85;2,36;0,86;4,89;0,409999996;3,2;8,04
02055;HORSERADISH,PREPARED;48;85,08;1,18;0,69;11,29;7,989999771;3,3;1,76
02063;ROSEMARY,FRESH;131;67,77;3,31;5,86;20,7;;14,1;2,35
02064;PEPPERMINT,FRESH;70;78,65;3,75;0,94;14,89;;8;1,76
02065;SPEARMINT,FRESH;44;85,55;3,29;0,73;8,41;;6,8;2,03
02066;SPEARMINT,DRIED;285;11,3;19,93;6,03;52,04;;29,8;10,7
03002;BABYFOOD,MEAT,BF,STR;107;80,6;13,6;5,4;0;0;0;0,8
03003;BABYFOOD,MEAT,BEEF,JUNIOR;106;79,9;14,5;4,9;0;0;0;0,8
03005;BABYFOOD,MEAT,VEAL,STR;101;80,9;13,5;4,8;0;0;0;0,9
03007;BABYFOOD,MEAT,PORK,STR;124;78,4;14;7,1;0;0;0;1,1
03008;BABYFOOD,MEAT,HAM,STR;111;79,4;13,9;5,8;0;0;0;1
03009;BABYFOOD,MEAT,HAM,JUNIOR;125;78,5;15,1;6,7;0;0;0;0,7
03010;BABYFOOD,MEAT,LAMB,STR;103;80,3;14,1;4,7;0,1;0;0;0,8
03011;BABYFOOD,MEAT,LAMB,JUNIOR;112;79,6;15,2;5,2;0;0;0;0,9
03012;BABYFOOD,MEAT,CHICK,STR;93;81,88;11,8;4,1;1,47;0;0;0,75
03013;BABYFOOD,MEAT,CHICK,JR;149;76;14,7;9,6;0;0;0;0,7
03014;BABYFOOD,MEAT,CHICK STKS,JR;188;68,3;14,6;14,4;1,5;1,399999976;0,2;1,2
03015;BABYFOOD,MEAT,TURKEY,STR;114;78,9;14,3;5,8;0,1;0;0;0,9
03016;BABYFOOD,MEAT,TURKEY,JR;129;77,5;15,4;7,1;0;0;0;0,8
03017;BABYFOOD,MEAT,TURKEY STKS,JR;182;69,8;13,7;14,2;1,4;1,399999976;0,5;0,9
03021;BABYFOOD,MEAT,MEAT STKS,JR;184;69,5;13,4;14,6;1,1;0,800000012;0,2;1,4
03041;BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR;48;88,9;2;0,9;7,7;0;;0,5
03042;BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR;48;88,6;2,1;0,8;8;0;;0,6
03043;BABYFOOD,DINNER,BF LASAGNA,TODD;77;82,3;4,2;2,1;10;0;;1,4
03044;BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR;61;86,34;2,36;1,47;9,45;2,089999914;1,2;0,37
03045;BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR;59;86,7;2,5;1,1;9,4;2,430000067;1,1;0,3
